# FFI Unit Definitions
# Format: discriminant,dimension,name,symbol,ratio
# Discriminant encoding: DSSCC where D=dimension (1 digit), SS=system (2 digits), CC=counter (2 digits)
# Ratio is the conversion factor to the canonical unit for that dimension
# Canonical units: Meter (Length), Second (Time), Radian (Angle), Gram (Mass), Watt (Power)

# Length units (1xxxx): 100xx=SI, 110xx=Astronomical, 120xx=Imperial, 130xx=Nautical, 150xx=Nominal
22005,Time,JulianCentury,jc,3155760000.0
23000,Time,SiderealDay,sd,86164.0905
23001,Time,SynodicMonth,mo_s,2551442.976
23002,Time,SiderealYear,yr_s,31558149.7635456
# Angle units (3xxxx): 300xx=Radian, 310xx=Degree, 320xx=Other
30000,Angle,Milliradian,mrad,0.001
30001,Angle,Radian,rad,1.0
31000,Angle,MicroArcsecond,µas,4.84813681109536e-12
31001,Angle,MilliArcsecond,mas,4.84813681109536e-9
31002,Angle,Arcsecond,″,4.84813681109536e-6
31003,Angle,Arcminute,′,0.0002908882086657216
31004,Angle,Degree,°,0.017453292519943295
32000,Angle,Gradian,gon,0.015707963267948967
32001,Angle,Turn,tr,std::f64::consts::TAU
32002,Angle,HourAngle,ʰ,0.2617993877991494
# Mass units (4xxxx): 400xx=SI, 410xx=Imperial, 420xx=Special
40000,Mass,Yoctogram,yg,1e-24
40001,Mass,Zeptogram,zg,1e-21
40002,Mass,Attogram,ag,1e-18
40003,Mass,Femtogram,fg,1e-15
40004,Mass,Picogram,pg,1e-12
40005,Mass,Nanogram,ng,1e-9
40006,Mass,Microgram,µg,1e-6
40007,Mass,Milligram,mg,0.001
40008,Mass,Centigram,cg,0.01
40009,Mass,Decigram,dg,0.1
40010,Mass,Gram,g,1.0
40011,Mass,Decagram,dag,10.0
40012,Mass,Hectogram,hg,100.0
40013,Mass,Kilogram,kg,1000.0
40014,Mass,Megagram,Mg,1e6
40015,Mass,Gigagram,Gg,1e9
40016,Mass,Teragram,Tg,1e12
40017,Mass,Petagram,Pg,1e15
40018,Mass,Exagram,Eg,1e18
40019,Mass,Zettagram,Zg,1e21
40020,Mass,Yottagram,Yg,1e24
41000,Mass,Grain,gr,0.06479891
41001,Mass,Ounce,oz,28.349523125
41002,Mass,Pound,lb,453.59237
41003,Mass,Stone,st,6350.29318
41004,Mass,ShortTon,ton,907184.74
41005,Mass,LongTon,ton_l,1016046.9088
42000,Mass,Carat,ct,0.2
42001,Mass,Tonne,t,1e6
42002,Mass,AtomicMassUnit,u,1.66053906892e-24
42003,Mass,SolarMass,M_☉,1.988416e33
# Power units (5xxxx): 500xx=SI, 510xx=Other
50000,Power,Yoctowatt,yW,1e-24
50001,Power,Zeptowatt,zW,1e-21
50002,Power,Attowatt,aW,1e-18
50003,Power,Femtowatt,fW,1e-15
50004,Power,Picowatt,pW,1e-12
50005,Power,Nanowatt,nW,1e-9
50006,Power,Microwatt,µW,1e-6
50007,Power,Milliwatt,mW,0.001
50008,Power,Deciwatt,dW,0.1
50009,Power,Watt,W,1.0
50010,Power,Decawatt,daW,10.0
50011,Power,Hectowatt,hW,100.0
50012,Power,Kilowatt,kW,1000.0
50013,Power,Megawatt,MW,1e6
50014,Power,Gigawatt,GW,1e9
50015,Power,Terawatt,TW,1e12
50016,Power,Petawatt,PW,1e15
50017,Power,Exawatt,EW,1e18
50018,Power,Zettawatt,ZW,1e21
50019,Power,Yottawatt,YW,1e24
51000,Power,ErgPerSecond,erg/s,1e-7
51001,Power,HorsepowerMetric,PS,735.49875
51002,Power,HorsepowerElectric,hp_e,746.0
51003,Power,SolarLuminosity,L_☉,3.828e26

